code,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total
ATL,15762,20254,17396,64,1703,2752,55176,1124,320446,379498
BOS,7022,8689,7738,23,780,2715,24246,151,90900,118012
BWI,4733,6909,3952,34,672,1509,16295,334,75967,94105
CLT,4982,4976,6251,40,493,1374,16747,156,91618,109895
DCA,4494,4507,5031,24,638,1996,14701,256,63664,80617
DEN,10821,15264,12762,47,1325,2352,40223,685,170875,214135
DFW,12331,17759,14647,93,1903,7178,46733,1212,205492,260615
DTW,5507,7000,5771,24,581,1349,18883,113,97966,118311
EWR,5565,7268,10076,12,747,3441,23674,281,84089,111485
FLL,5493,5307,5229,78,461,880,16567,116,61856,79419
IAD,2359,2372,1654,6,300,534,6695,55,29998,37282
IAH,7759,10047,10968,24,1010,2520,29808,731,126851,159910
JFK,5066,6572,9566,44,535,2014,21792,258,78030,102094
LAS,7498,11022,6815,60,777,887,26169,225,118619,145900
LAX,11954,14822,17419,88,1435,2337,45714,315,164069,212435
LGA,5935,6559,12753,38,988,4534,26273,659,76685,108151
MCO,7964,7898,6881,59,732,1107,23531,353,95037,120028
MDW,3991,5990,3509,26,892,1862,14398,556,71681,88497
MIA,4697,4247,5398,43,498,793,14891,245,59351,75280
MSP,5729,6698,7009,31,723,875,20170,130,101576,122751
ORD,12969,21678,25539,68,1869,9350,62123,794,241247,313514
PDX,2867,3419,1538,21,191,209,8033,82,43310,51634
PHL,3941,3927,6010,32,490,1191,14387,191,56337,72106
PHX,8223,10104,7115,66,688,1246,26199,234,132064,159743
SAN,4727,5761,2751,20,386,696,13648,239,61831,76414
SEA,5619,6761,6554,59,596,565,19587,185,100955,121292
SFO,8097,11522,14304,38,1114,2379,35080,265,124412,162136
SLC,4257,5555,2942,17,441,528,13206,135,92088,105957
TPA,4614,4554,3233,27,426,597,12851,176,55438,69062